internal_id	customer_label	rawseqs(R1+R2)	trimmed_seqs(R1+R2)	dada2_infered	chimera_seqs	chimera_free_seqs	unique_seqs	seqs(after_size_filtration)	final_unique_seqs
zr24558_249V3V4	84B.R2.0H	197294	197292	96075	24170	71905	170	71701	111
zr24558_250V3V4	84B.S1.0H	158410	158408	77227	21391	55836	145	55591	83
zr24558_251V3V4	84B.S2.0H	148420	148418	72458	18925	53533	142	53329	90
zr24558_252V3V4	84B.NC.0H	104172	104172	50737	12494	38243	119	38071	74
zr24558_272V3V4	66A.NC.0H	148142	148140	70959	22988	47971	236	47559	124
zr24558_297V3V4	92B.NC.0H	126994	126994	60887	13562	47325	169	47083	109
zr24558_268V3V4	66A.R1.0H	156184	156184	74863	19199	55664	247	55249	144
zr24558_269V3V4	66A.R2.0H	101424	101422	48279	11681	36598	187	36256	116
zr24558_270V3V4	66A.S1.0H	154292	154292	73967	19906	54061	234	53678	134
zr24558_271V3V4	66A.S2.0H	138628	138624	65949	19216	46733	302	46232	172
zr24558_273V3V4	84A.R1.0H	171894	171894	82658	19959	62699	195	62425	130
zr24558_274V3V4	84A.R2.0H	184584	184584	89172	19308	69864	201	69568	115
zr24558_275V3V4	84A.S1.0H	133534	133534	64212	16150	48062	188	47796	115
zr24558_276V3V4	84A.S2.0H	118604	118604	57099	12147	44952	153	44743	100
zr24558_293V3V4	92B.R1.0H	146076	146076	70443	14435	56008	187	55731	114
zr24558_294V3V4	92B.R2.0H	160722	160718	77753	16407	61346	183	61080	114
zr24558_295V3V4	92B.S1.0H	155524	155524	75109	16036	59073	184	58831	116
zr24558_296V3V4	92B.S2.0H	134274	134272	64417	15011	49406	179	49134	105
zr24558_298V3V4	176B.R1.0H	136270	136266	65738	13508	52230	168	51980	102
zr24558_299V3V4	176B.R2.0H	174370	174368	84525	17665	66860	199	66576	113
zr24558_300V3V4	176B.S1.0H	132080	132076	63955	11959	51996	153	51797	106
zr24558_166V3V4	161A.NC.0H	127398	127398	61691	10080	51611	194	51241	105
zr24558_176V3V4	116A.NC.0H	153172	153170	72797	17575	55222	266	54792	159
zr24558_186V3V4	67A.NC.0H	109300	109300	53058	9768	43290	151	43080	100
zr24558_191V3V4	73.NC.0H	165086	165086	80573	21968	58605	125	58441	84
