donor_id,aliquot_id,carbohydrate,well_repeat,has_0,has_48,n_rows,n_qpcr,n_fusi,paired_0_48
58,58A,RDC,1.0,True,True,2,2,2,True
58,58A,RDC,2.0,True,True,2,2,2,True
58,58A,SDC,1.0,True,True,2,2,2,True
58,58A,SDC,2.0,True,True,2,2,2,True
58,58B,No Added Carb,1.0,True,True,2,2,2,True
58,58B,RDC,1.0,True,True,2,2,2,True
58,58B,RDC,2.0,True,True,2,2,2,True
58,58B,SDC,1.0,True,True,2,2,2,True
58,58B,SDC,2.0,True,True,2,2,2,True
66,66A,No Added Carb,1.0,True,True,2,2,2,True
66,66A,RDC,1.0,True,True,2,2,2,True
66,66A,RDC,2.0,True,True,2,2,2,True
66,66A,SDC,1.0,True,True,2,2,2,True
66,66A,SDC,2.0,True,True,2,2,2,True
66,66B,No Added Carb,1.0,True,True,2,2,2,True
66,66B,RDC,1.0,True,True,2,2,2,True
66,66B,RDC,2.0,True,False,1,1,1,False
66,66B,SDC,1.0,True,True,2,2,2,True
66,66B,SDC,2.0,True,False,1,1,1,False
67,67A,No Added Carb,1.0,True,True,2,2,2,True
67,67A,RDC,1.0,True,False,1,1,1,False
67,67A,RDC,2.0,True,True,2,2,2,True
67,67A,SDC,1.0,True,True,2,2,2,True
67,67A,SDC,2.0,True,True,2,2,2,True
67,67B,No Added Carb,1.0,True,True,2,2,2,True
67,67B,RDC,1.0,True,True,2,2,2,True
67,67B,RDC,2.0,True,True,2,2,2,True
67,67B,SDC,1.0,True,True,2,2,2,True
67,67B,SDC,2.0,True,True,2,2,2,True
73,73A,No Added Carb,1.0,True,True,2,2,2,True
73,73A,RDC,1.0,True,True,2,2,2,True
73,73A,RDC,2.0,True,True,2,2,2,True
73,73A,SDC,1.0,True,True,2,2,2,True
73,73A,SDC,2.0,True,True,2,2,2,True
73,73B,No Added Carb,1.0,False,True,1,1,1,False
73,73B,RDC,1.0,True,True,2,2,2,True
73,73B,RDC,2.0,True,True,2,2,2,True
73,73B,SDC,1.0,True,True,2,2,2,True
73,73B,SDC,2.0,True,True,2,2,2,True
84,84A,No Added Carb,1.0,False,True,1,1,1,False
84,84A,RDC,1.0,True,True,2,2,2,True
84,84A,RDC,2.0,True,True,2,2,2,True
84,84A,SDC,1.0,True,True,2,2,2,True
84,84A,SDC,2.0,True,True,2,2,2,True
84,84B,No Added Carb,1.0,True,True,2,2,2,True
84,84B,RDC,1.0,True,True,2,2,2,True
84,84B,RDC,2.0,True,True,2,2,2,True
84,84B,SDC,1.0,True,True,2,2,2,True
84,84B,SDC,2.0,True,True,2,2,2,True
92,92A,No Added Carb,1.0,True,True,2,2,2,True
92,92A,RDC,1.0,True,True,2,2,2,True
92,92A,RDC,2.0,True,True,2,2,2,True
92,92A,SDC,1.0,True,True,2,2,2,True
92,92A,SDC,2.0,True,True,2,2,2,True
92,92B,No Added Carb,1.0,True,True,2,2,2,True
92,92B,RDC,1.0,True,True,2,2,2,True
92,92B,RDC,2.0,True,True,2,2,2,True
92,92B,SDC,1.0,True,True,2,2,2,True
92,92B,SDC,2.0,True,True,2,2,2,True
