parameter,entity,estimate,std.error,p.val.adj,s_var
carbohydrateRDC,Fusicatenibacter,-0.7813455137561611,1.2954673372861842,0.7645694761033108,0.05
carbohydrateSDC,Fusicatenibacter,0.4730906782470489,1.2986025627199382,1,0.05
timepoint48H,Fusicatenibacter,-2.429419599658175,1.4583055090322732,0.7887481293429977,0.05
obesity_groupobesity,Fusicatenibacter,1.0308045271597652,1.3215530195872394,1,0.05
carbohydrateRDC:timepoint48H,Fusicatenibacter,2.6995890416570356,1.7549368360742643,0.4626822621150661,0.05
carbohydrateSDC:timepoint48H,Fusicatenibacter,4.373667291814096,1.7530585827486047,0.5325300333736079,0.05
carbohydrateRDC,Gordonibacter,-1.1046371359928047,1.3468697792148288,0.7483646117614988,0.05
carbohydrateSDC,Gordonibacter,-0.7149072917499798,1.3501596275062444,1,0.05
timepoint48H,Gordonibacter,0.740186791380508,1.5157524546683476,0.919383161117506,0.05
obesity_groupobesity,Gordonibacter,-1.5974327582768968,1.175227599920019,0.8491113998834314,0.05
carbohydrateRDC:timepoint48H,Gordonibacter,2.024436737820505,1.824622440352889,0.5511362828873163,0.05
carbohydrateSDC:timepoint48H,Gordonibacter,2.073188338128272,1.8226852252901078,0.8837354338093788,0.05
carbohydrateRDC,Holdemanella,-1.7455028426497161,1.4548847091346533,0.7164032488962035,0.05
carbohydrateSDC,Holdemanella,-0.21559261274043187,1.4583644151137385,1,0.05
timepoint48H,Holdemanella,1.821485748729592,1.6383950668866283,0.6389386043012155,0.05
obesity_groupobesity,Holdemanella,0.5185090760771033,2.0062759182348002,1,0.05
carbohydrateRDC:timepoint48H,Holdemanella,4.063340140037648,1.9708289517016357,0.38308248721145566,0.05
carbohydrateSDC:timepoint48H,Holdemanella,2.7804701227932767,1.9686972795365605,0.8324347669673119,0.05
carbohydrateRDC,Holdemania,-0.6080202492464145,1.2889810761216718,0.8336502148533643,0.05
carbohydrateSDC,Holdemania,0.32985929692094523,1.29219792168157,1,0.05
timepoint48H,Holdemania,6.206159125689465,1.4498033041716032,0.001162506399314636,0.05
obesity_groupobesity,Holdemania,-0.08839030553054407,0.8864419578145581,0.9972869055134659,0.05
carbohydrateRDC:timepoint48H,Holdemania,1.9535360176542051,1.7463296425144414,0.5644027907355618,0.05
carbohydrateSDC:timepoint48H,Holdemania,0.8530700514997137,1.7445084241974909,0.9441599477794075,0.05
carbohydrateRDC,Intestinibacter,-1.026574967581705,1.337863706591739,0.7443513028380819,0.05
carbohydrateSDC,Intestinibacter,0.062225909365345264,1.3410965232401337,1,0.05
timepoint48H,Intestinibacter,2.373771467388337,1.5061012560162375,0.3543078057365454,0.05
obesity_groupobesity,Intestinibacter,-1.8635649534198881,1.398863333011424,0.850732883583519,0.05
carbohydrateRDC:timepoint48H,Intestinibacter,1.8088189515475324,1.8123615828225366,0.5606261394664092,0.05
carbohydrateSDC:timepoint48H,Intestinibacter,0.4290025747875438,1.8104192594225381,0.9823724359429115,0.05
carbohydrateRDC,Lachnoclostridium,-1.1920095119518443,1.2133048241124211,0.7070149289974139,0.05
carbohydrateSDC,Lachnoclostridium,-0.03469054480826131,1.2164803755320854,1,0.05
timepoint48H,Lachnoclostridium,2.6514860937966103,1.3633582030856448,0.1868077964123122,0.05
obesity_groupobesity,Lachnoclostridium,0.11730714066288299,0.5957745691770181,1,0.05
carbohydrateRDC:timepoint48H,Lachnoclostridium,0.46070762595667014,1.6441258139600485,0.8896144396768254,0.05
carbohydrateSDC:timepoint48H,Lachnoclostridium,-0.14550070634866916,1.6424738203973,1,0.05
carbohydrateRDC,Lactococcus,-1.1330563372271711,1.269368198912,0.7360860730881474,0.05
carbohydrateSDC,Lactococcus,-0.6715055490243867,1.2725178382974283,1,0.05
timepoint48H,Lactococcus,-1.9553388335866662,1.4279394318005783,0.8642325512489281,0.05
obesity_groupobesity,Lactococcus,0.524149359470296,0.9198712115178954,1,0.05
carbohydrateRDC:timepoint48H,Lactococcus,2.443483635875655,1.7197214643771623,0.4879721539487135,0.05
carbohydrateSDC:timepoint48H,Lactococcus,2.1999894012719716,1.7179195619281147,0.855429443747337,0.05
carbohydrateRDC,Marvinbryantia,-1.317796850795125,1.4296685316805553,0.7206632704810467,0.05
carbohydrateSDC,Marvinbryantia,-0.275046451911727,1.4331889822536583,1,0.05
timepoint48H,Marvinbryantia,-3.9601214902813715,1.6085722743279265,0.42501383637356765,0.05
obesity_groupobesity,Marvinbryantia,0.09413084127374582,1.1188333356941103,1,0.05
carbohydrateRDC:timepoint48H,Marvinbryantia,2.8466066801396757,1.9368422120838942,0.472216472561007,0.05
carbohydrateSDC:timepoint48H,Marvinbryantia,2.391282255888285,1.9348000087062145,0.8770460436628172,0.05
carbohydrateRDC,Other,-1.472998571381453,1.265569539806795,0.7260974767664087,0.05
carbohydrateSDC,Other,-0.959542112796838,1.2687134999757677,1,0.05
timepoint48H,Other,3.1735851386720757,1.4236231947136162,0.14172289483126013,0.05
obesity_groupobesity,Other,-0.42664018096240997,0.9054167460142497,0.9849106316478224,0.05
carbohydrateRDC:timepoint48H,Other,2.3389847560721644,1.7145822748036643,0.5036536269394001,0.05
carbohydrateSDC:timepoint48H,Other,1.5325092743024271,1.7127875430748174,0.9003080691148829,0.05
carbohydrateRDC,Paenibacillus,-1.0332633596410783,1.47288463566408,0.7459074725332732,0.05
carbohydrateSDC,Paenibacillus,-0.4073358480857451,1.47672405178678,1,0.05
timepoint48H,Paenibacillus,-3.5917913895297153,1.655167769605887,0.5241424433204347,0.05
obesity_groupobesity,Paenibacillus,0.807941133469103,0.7423159473971013,1,0.05
carbohydrateRDC:timepoint48H,Paenibacillus,2.1745744526356963,1.9958417988089978,0.5495894388304875,0.05
carbohydrateSDC:timepoint48H,Paenibacillus,1.7174570925165062,1.9938301035897892,0.9124192120936777,0.05
carbohydrateRDC,Parabacteroides,-0.619476564109249,1.3726693189476913,0.8306168767445997,0.05
carbohydrateSDC,Parabacteroides,0.16797527434245388,1.3760573026156435,1,0.05
timepoint48H,Parabacteroides,12.599706253801997,1.5443490049852882,4.746233065131926e-12,0.05
obesity_groupobesity,Parabacteroides,-1.250641582404775,1.0492576462873533,0.8766660268120129,0.05
carbohydrateRDC:timepoint48H,Parabacteroides,0.3031208044653293,1.8596376136878876,0.884710337126167,0.05
carbohydrateSDC:timepoint48H,Parabacteroides,0.9822788597361818,1.857680591185383,0.9452038508159188,0.05
carbohydrateRDC,Romboutsia,-1.175859111919719,1.1196672698596117,0.7139065770891652,0.05
carbohydrateSDC,Romboutsia,0.13349765994218132,1.1223482275753018,1,0.05
timepoint48H,Romboutsia,0.47437896330075413,1.2608463520765603,0.989157643713456,0.05
obesity_groupobesity,Romboutsia,-2.3104998412904107,1.4855174940664062,0.8418738773167557,0.05
carbohydrateRDC:timepoint48H,Romboutsia,2.3330829410872735,1.5167383478193153,0.46272215524727084,0.05
carbohydrateSDC:timepoint48H,Romboutsia,1.2089890358327646,1.5150994937408295,0.9208100545791743,0.05
carbohydrateRDC,Roseburia,-0.6150370164978824,1.4459722731409017,0.8296858322930508,0.05
carbohydrateSDC,Roseburia,0.7232549828262499,1.4496214689902989,1,0.05
timepoint48H,Roseburia,1.7554624367453056,1.6259519712646968,0.6630192356421417,0.05
obesity_groupobesity,Roseburia,0.8629199935976742,0.8962804838520311,1,0.05
carbohydrateRDC:timepoint48H,Roseburia,2.3550341096480367,1.9591047493320726,0.5194169413000234,0.05
carbohydrateSDC:timepoint48H,Roseburia,0.3235714586571637,1.9570802693589877,0.9829784885815678,0.05
carbohydrateRDC,Ruminiclostridium,-0.839707030141724,1.4838949656120672,0.7842224961175981,0.05
carbohydrateSDC,Ruminiclostridium,-0.015370078178750857,1.4876730847846744,1,0.05
timepoint48H,Ruminiclostridium,1.2392985360210458,1.6682878387611368,0.8756464933159994,0.05
obesity_groupobesity,Ruminiclostridium,0.6758628064716927,0.8644125487924709,1,0.05
carbohydrateRDC:timepoint48H,Ruminiclostridium,1.7288627804064618,2.0105566374361206,0.6077349367161416,0.05
carbohydrateSDC:timepoint48H,Ruminiclostridium,1.3222668771954307,2.008493303272075,0.932201926711346,0.05
carbohydrateRDC,Ruminococcus,-1.604757680074374,1.5786299176327783,0.7245670188478749,0.05
carbohydrateSDC,Ruminococcus,-0.7153871326172931,1.582444147276473,1,0.05
timepoint48H,Ruminococcus,-2.0650588171960806,1.7771496236068547,0.9611639450382872,0.05
obesity_groupobesity,Ruminococcus,-3.9588365919773567,1.6543281914466703,0.4887038894219825,0.05
carbohydrateRDC:timepoint48H,Ruminococcus,2.4239467217362924,2.1385193276460925,0.5341614042209076,0.05
carbohydrateSDC:timepoint48H,Ruminococcus,1.2869828050448704,2.1362272577070196,0.9408054216848187,0.05
carbohydrateRDC,Senegalimassilia,-1.230087727448199,1.2480604774294215,0.7395456147951662,0.05
carbohydrateSDC,Senegalimassilia,-0.32717859168836866,1.2510515602732166,1,0.05
timepoint48H,Senegalimassilia,1.772920234066073,1.4053851926653822,0.5670074210506261,0.05
obesity_groupobesity,Senegalimassilia,-0.309331647548433,1.6084133315628697,0.9993291339201347,0.05
carbohydrateRDC:timepoint48H,Senegalimassilia,2.4610355762982667,1.6906682371149517,0.48649017614539747,0.05
carbohydrateSDC:timepoint48H,Senegalimassilia,2.1527641876371892,1.6888429405639245,0.8522255919934006,0.05
carbohydrateRDC,Slackia,0.1711949987165942,1.3486467248500862,0.9428707580556721,0.05
carbohydrateSDC,Slackia,0.5353528682579008,1.3518887421895291,1,0.05
timepoint48H,Slackia,3.9949469934886137,1.5184953664834937,0.06758103261253416,0.05
obesity_groupobesity,Slackia,-1.1842518511253308,1.5941402580670117,0.9753859894380235,0.05
carbohydrateRDC:timepoint48H,Slackia,-0.05022555741333744,1.826941643971822,0.9196465322583475,0.05
carbohydrateSDC:timepoint48H,Slackia,0.4803076497848505,1.824974625099945,0.9659378818345216,0.05
carbohydrateRDC,Streptococcus,-1.2051717560814574,1.1745997738621046,0.7066151243937759,0.05
carbohydrateSDC,Streptococcus,0.11511973943742394,1.1774486441781624,1,0.05
timepoint48H,Streptococcus,-0.7848070355202095,1.322154896759069,1,0.05
obesity_groupobesity,Streptococcus,0.17604084872959078,1.1443477041911703,1,0.05
carbohydrateRDC:timepoint48H,Streptococcus,2.919782772524577,1.5912108187087943,0.4278596911962056,0.05
carbohydrateSDC:timepoint48H,Streptococcus,1.5293549575563345,1.5895110653562394,0.9070249899899737,0.05
carbohydrateRDC,Subdoligranulum,-0.9645034558971038,1.1587037128496922,0.7199861218855115,0.05
carbohydrateSDC,Subdoligranulum,0.2589781019485225,1.1617453391061365,1,0.05
timepoint48H,Subdoligranulum,2.116986746843359,1.3019385249451207,0.32087915799521055,0.05
obesity_groupobesity,Subdoligranulum,0.5760994604112784,0.5601798843626673,1,0.05
carbohydrateRDC:timepoint48H,Subdoligranulum,1.948860842271184,1.570158566031481,0.5025636258370246,0.05
carbohydrateSDC:timepoint48H,Subdoligranulum,0.8583806155703685,1.5685843519617457,0.9468803895721343,0.05
carbohydrateRDC,Terrisporobacter,-0.7836158328886735,1.3719744339884297,0.7981125059973905,0.05
carbohydrateSDC,Terrisporobacter,0.3158688196620081,1.3752918444481483,1,0.05
timepoint48H,Terrisporobacter,0.9126199411938138,1.5444707256610566,0.9026208231593893,0.05
obesity_groupobesity,Terrisporobacter,-3.58353849589224,1.4190383455797237,0.4751785870469172,0.05
carbohydrateRDC:timepoint48H,Terrisporobacter,1.5624980377776265,1.8585739728221538,0.6386045532802971,0.05
carbohydrateSDC:timepoint48H,Terrisporobacter,0.58778872877594,1.8565832576257384,0.9678734090235838,0.05
carbohydrateRDC,Turicibacter,-1.5234504317771373,1.3044241940954322,0.7072012674345598,0.05
carbohydrateSDC,Turicibacter,-0.36067224377324497,1.3075641771823592,1,0.05
timepoint48H,Turicibacter,-0.07678532315398796,1.468637208766082,1,0.05
obesity_groupobesity,Turicibacter,-1.873250627068147,1.487190606654527,0.8567396240293008,0.05
carbohydrateRDC:timepoint48H,Turicibacter,2.8021180537899237,1.767042505297592,0.4524843571924995,0.05
carbohydrateSDC:timepoint48H,Turicibacter,1.768570551651456,1.7651423008873248,0.9006832286884966,0.05
carbohydrateRDC,f__Christensenellaceae,-1.0265661952999787,1.3262516149902652,0.7341381355237184,0.05
carbohydrateSDC,f__Christensenellaceae,0.12990023221522343,1.3294511603327253,1,0.05
timepoint48H,f__Christensenellaceae,0.44956618472333526,1.4931065597279798,0.9930087332004868,0.05
obesity_groupobesity,f__Christensenellaceae,-1.03384880621381,1.437535975199951,0.9839323476187428,0.05
carbohydrateRDC:timepoint48H,f__Christensenellaceae,0.9610612065744185,1.7966225063905792,0.7524410027091292,0.05
carbohydrateSDC:timepoint48H,f__Christensenellaceae,-1.0399327204351336,1.794694265200041,1,0.05
carbohydrateRDC,f__Coriobacteriaceae,-0.28877998697485363,1.3785245896577745,0.887239456107605,0.05
carbohydrateSDC,f__Coriobacteriaceae,0.3713307466979503,1.3818898281484477,1,0.05
timepoint48H,f__Coriobacteriaceae,0.09512050888271828,1.5514006858236475,0.9842011918417812,0.05
obesity_groupobesity,f__Coriobacteriaceae,-1.1019471115221118,1.210815879105281,0.9299071596396237,0.05
carbohydrateRDC:timepoint48H,f__Coriobacteriaceae,1.593203775111926,1.867502128795551,0.6372093646019145,0.05
carbohydrateSDC:timepoint48H,f__Coriobacteriaceae,1.4120074825412443,1.8655184296381873,0.91539728575511,0.05
carbohydrateRDC,f__Erysipelotrichaceae,-0.8499166767735019,1.3831092247573598,0.7678336470082863,0.05
carbohydrateSDC,f__Erysipelotrichaceae,0.22360334279656563,1.3864528824666178,1,0.05
timepoint48H,f__Erysipelotrichaceae,-0.05848579896754778,1.557014194991227,0.9996476760045466,0.05
obesity_groupobesity,f__Erysipelotrichaceae,-0.45708253464059073,1.4324317315921336,1,0.05
carbohydrateRDC:timepoint48H,f__Erysipelotrichaceae,0.7292405927563705,1.8736567448474808,0.8258163594152592,0.05
carbohydrateSDC:timepoint48H,f__Erysipelotrichaceae,0.23571429663117538,1.8716495340538284,0.9847833176043097,0.05
carbohydrateRDC,f__Family XIII,-1.401916372928105,1.3393610495481756,0.7079776559486397,0.05
carbohydrateSDC,f__Family XIII,-0.34145865015451077,1.3427172109693817,1,0.05
timepoint48H,f__Family XIII,-2.460797096227297,1.506319134273958,0.792955879794507,0.05
obesity_groupobesity,f__Family XIII,-2.0992842655158546,0.8838512730064274,0.5266073397644381,0.05
carbohydrateRDC:timepoint48H,f__Family XIII,1.5958272463317098,1.8146117595263227,0.6167121027333282,0.05
carbohydrateSDC:timepoint48H,f__Family XIII,0.31631419599966426,1.812725689584946,0.9836722140664007,0.05
carbohydrateRDC,f__Lachnospiraceae,-1.2503588062500415,1.1471832917737395,0.7064599169666672,0.05
carbohydrateSDC,f__Lachnospiraceae,0.03495771017409819,1.150117584828404,1,0.05
timepoint48H,f__Lachnospiraceae,0.9292580477079717,1.289606666561318,0.9356783954087623,0.05
obesity_groupobesity,f__Lachnospiraceae,-0.44779710165698816,0.6443969147419694,0.9894852957498488,0.05
carbohydrateRDC:timepoint48H,f__Lachnospiraceae,1.6527240260137028,1.5543682249624522,0.5301860454977946,0.05
carbohydrateSDC:timepoint48H,f__Lachnospiraceae,1.0351721646746577,1.5527789615061303,0.9306460179769235,0.05
carbohydrateRDC,f__Ruminococcaceae,-1.4130956959648726,1.210548136953751,0.7064599169666672,0.05
carbohydrateSDC,f__Ruminococcaceae,-0.04975568464821561,1.2136798757699903,1,0.05
timepoint48H,f__Ruminococcaceae,1.8738483347005113,1.360544088338856,0.44630976763623365,0.05
obesity_groupobesity,f__Ruminococcaceae,-0.7815108384338076,0.634597929101764,0.8617244225295789,0.05
carbohydrateRDC:timepoint48H,f__Ruminococcaceae,0.4836434397772091,1.6403042764442617,0.8812991764852661,0.05
carbohydrateSDC:timepoint48H,f__Ruminococcaceae,-0.06659316564142673,1.6386416422557104,1,0.05
carbohydrateRDC,o__Clostridiales,-1.0898732189468914,1.351928168004127,0.7556339420498236,0.05
carbohydrateSDC,o__Clostridiales,0.035647269315468834,1.355166667142654,1,0.05
